Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
190842,2020-03-13T17:43:11+00:00,Me showing up to a dark office with a locked door this morning https://t.co/luCFl7puQW,1238520999060148229,Topher McCulloch,0,0,3,0,"Chicago, IL",,1656,975,0,showing dark office locked door morning,me show up to a dark offic with a locked door thi morn,[]
47053,2020-03-04T18:05:37+00:00,@tamiserra Affff... e eu nem tô. Me incomoda a frase flutuando sem pontuação.,1235265156004929537,Rodrigo Fernandes,0,0,0,0,"Chicago, IL",,495224,2066,0,tamiserra affff e eu nem tô incomoda frase flutuando sem pontuação,tamiserra affff e eu nem tô me incomoda a fras flutuando sem pontuação,[]
35956,2020-03-03T13:31:38+00:00,@coachbdixon @ZachDechant @JustFlySports @XLATHLETE @korfist @TheKurtHester Great list.,1234833814221926400,Chris_Davenport,0,0,1,0,"Whiting, IN",,603,561,0,coachbdixon zachdechant justflysports xlathlete korfist thekurthester great list,coachbdixon zachdechant justflysport xlathlet korfist thekurthester great list,[]
26451,2020-03-02T01:51:19+00:00,@LEBassett Fossil,1234295186580217856,GameplanCreativeCHI,0,0,0,0,"Chicago, IL",,3362,4230,0,lebassett fossil,lebassett fossil,[]
158288,2020-03-11T11:43:29+00:00,good morning,1237705700547182593,jackie,0,0,1,0,"Chicago, IL",,1193,1964,0,good morning,good morn,[]
242662,2020-03-16T15:05:13+00:00,can they please shut all malls down before all these stank ass teenagers that are off of school for the next two weeks make my life a living hell? https://t.co/ym4vL8ACF2,1239568409488220160,alexis,0,0,14,0,"Chicago, IL",,733,628,0,please shut malls stank ass teenagers school next two weeks make life living hell,can they pleas shut all mall down befor all thes stank ass teenager that are off of school for the next two week mak my lif a liv hell,[]
493857,2020-03-31T19:48:25+00:00,"I’m 26, No Kids, 10 Tattoos, 7 Piercings &amp; I’m A Capricorn! 😈 Hbu? https://t.co/5PStdVCmpG",1245075498616655874,𝓘𝓼𝓪𝓫𝓮𝓵𝓲𝓽𝓪 🕊,0,1,1,1,"Chicago, IL",,256,283,0,’ 26 kids 10 tattoos 7 piercings amp ’ capricorn 😈 hbu,i ’ m 26 no kid 10 tattoo 7 piercing amp i ’ m a capricorn 😈 hbu,['smiling_face_with_horns']
502742,2020-03-31T03:22:28+00:00,@haramdre One of the worst things you can do when coming down with a virus is to get dehydrated. It happened to me in college I ended up in the ER Soph yr I could barely move. My roommate took me I had no idea i was severely dehydrated. It’s so hard to get better once it happens.,1244827373540986881,Dave Young,0,0,1,0,"Chicago, IL",,373,530,0,haramdre one worst things coming virus get dehydrated happened college ended er soph yr could barely move roommate took idea severely dehydrated ’ hard get better happens,haramdr one of the worst thing you can do when com down with a viru is to get dehydrated it happened to me in colleg i ended up in the er soph yr i could barely mov my roommat took me i had no idea i was severely dehydrated it ’ s so hard to get better onc it happen,[]
62479,2020-03-05T18:44:14+00:00,@dms_out https://t.co/fcqqOrRZ1C,1235637259069767681,LittleChef👩🏽‍🍳,0,0,0,1,"Chicago, IL",,1863,712,0,dmsout,dmsout,[]
388198,2020-03-24T02:06:10+00:00,"Finally, a dumb Twitter thing I want to do!

Places I’ve lived ⬇️

📍North Chicago Suburbs, IL
📍Peoria, IL
📍Battle Creek, MI
📍Potomac, MD
📍Dunedin, FL
📍Fort Myers, FL
📍High Point, NC
📍Biloxi, MS
📍Knoxville, TN
📍Fort Lauderdale, FL
📍Under a bridge",1242271458186997760,Spencer Siegel,0,0,8,0,"Evanston, IL",,432,582,0,finally dumb twitter thing want doplaces ’ lived ⬇️📍north chicago suburbs il📍peoria il📍battle creek mi📍potomac md📍dunedin fl📍fort myers fl📍high point nc📍biloxi ms📍knoxville tn📍fort lauderdale fl📍under bridge,finally a dumb twitter th i want to doplace i ’ ve lived ⬇️📍north chicago suburb il📍peoria il📍battl creek mi📍potomac md📍dunedin fl📍fort myer fl📍high point nc📍biloxi ms📍knoxvill tn📍fort lauderdal fl📍under a bridg,"['down_arrow', 'round_pushpin', 'round_pushpin', 'round_pushpin', 'round_pushpin', 'round_pushpin', 'round_pushpin', 'round_pushpin', 'round_pushpin', 'round_pushpin', 'round_pushpin', 'round_pushpin']"
