,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy
958,2020-03-01T22:56:08+00:00,Autumn de Wilde is one of my favourite photographers and Anya Taylor-Joy is an incredible actress. i’m super excited for this to start,1234251100364124167,Dahlia,3,0,16,0,"Chicago, IL",,18575,3464,1
2810,2020-03-01T20:28:09+00:00,"This was my loot from the con. Tried to find the Cayde-6 one. Was a joy to meet my college buddy @aleroart, my Destiny homies @niiightstalker, and @DaveARodriguez! Also @Bungie and @A_dmg04 check out @adulture for her amazing Osiris/Saint-14 works! https://t.co/4iKVLk5a2E",1234213859717718017,| REZO | chibithûn,0,0,7,0,"Chicago, IL",,3556,2673,1
3284,2020-03-01T19:55:18+00:00,"@Mary_Js_ART @JoeBiden Mary,

ThanQ 4 sharing ur #Journey2JOE.

After all u've survived, I hope ur n a time+place of peace+joy now.

--Raj
👋🏾🐝😎🍀💙🇺🇸",1234205594766188545,Raj 🦅 #DemCast 🗽 Balasubramanian 🥁,0,1,0,0,"Chicago, IL",['Journey2JOE'],9547,5369,1
5352,2020-03-01T17:27:06+00:00,Tomorrow is never promised. But puke on the sidewalk outside of Joy District every Saturday and Sunday morning is.,1234168296032702464,QuisHines10,1,1,1,0,"Chicago, IL",,653,611,1
6884,2020-03-01T15:34:47+00:00,"When people love each other, the very angels leave heaven to visit their home and sing for joy. - Brahman proverb via @TaroGold",1234140033667432450,TOB,0,0,0,0,"Chicago, IL",,151,2624,1
7030,2020-03-01T15:24:43+00:00,"Breakfast date with my favorite little dude 💗 aka daddy Jr.
•
•
• PS- it’s a new day of a new month. I believing in favor, abundance and pure child-like joy in the days ahead. Know, if you are reading this... YOU ARE… https://t.co/DqQ8saBFd0",1234137497229123585,Whitney Reynolds,0,0,3,0,"Chicago, IL",,4652,3188,1
8252,2020-03-01T13:11:26+00:00,"Wow. The joy of watching David Byrne doing “Once In A Lifetime” at 67 years old on #snl. Beautiful, just beautiful.",1234103958341390338,Phil Lueck,2,2,21,0,"Chicago, IL",['snl'],432,1569,1
8456,2020-03-01T12:15:38+00:00,I cannot say enough wonderful things about @Eddie_197!! This just goes to show you what a great person he is. Thank you for bringing joy to the guests at #T2079. You’re one of a kind. @K2Virgilio @laurcountryman @tonypena  #worksomewhereyoulove https://t.co/cNFwpVgqlk,1234089913823481856,Chad Feltrin - Visual Merchandiser/Designer,0,3,5,0,"Chicago, IL","['T2079', 'worksomewhereyoulove']",368,570,1
9153,2020-03-01T07:48:20+00:00,"@usafss74 @Kiaz19 @sie2sienna I understand how you feel, but I feel the joy they bring you while he or she is here, far outweighs the day you have to part with them.",1234022644963594240,Big Kev,0,0,0,0,"Chicago, IL",,994,1525,1
10638,2020-03-01T04:47:08+00:00,"OK, it’s just me, spreading joy to the world one tweet at a time. https://t.co/FEnm7sQF1l",1233977047149633536,Wookiee Boogie,0,0,3,0,"Chicago, IL",,1334,2609,1
