,Char,Unicode,Neg,Neut,Pos,Sentiment score,Emot_Intensity
1,😂,0x1f602,0.247,0.285,0.468,0.221,0.6105
2,❤,0x2764,0.044,0.166,0.79,0.746,0.873
3,♥,0x2665,0.035,0.272,0.693,0.657,0.8285
4,😍,0x1f60d,0.052,0.219,0.729,0.678,0.839
5,😭,0x1f62d,0.436,0.22,0.343,-0.093,0.5465
6,😘,0x1f618,0.053,0.193,0.754,0.701,0.8505
7,😊,0x1f60a,0.06,0.237,0.704,0.644,0.8220000000000001
8,👌,0x1f44c,0.094,0.249,0.657,0.563,0.7815
9,💕,0x1f495,0.042,0.285,0.674,0.632,0.8160000000000001
10,👏,0x1f44f,0.104,0.271,0.624,0.52,0.76
11,😁,0x1f601,0.127,0.296,0.577,0.449,0.7245
12,☺,0x263a,0.062,0.218,0.72,0.657,0.8285
13,♡,0x2661,0.052,0.227,0.721,0.669,0.8345
14,👍,0x1f44d,0.115,0.248,0.637,0.521,0.7605
15,😩,0x1f629,0.591,0.186,0.223,-0.368,0.6839999999999999
16,🙏,0x1f64f,0.081,0.421,0.498,0.417,0.7085
17,✌,0x270c,0.113,0.31,0.576,0.463,0.7315
18,😏,0x1f60f,0.112,0.444,0.444,0.332,0.666
19,😉,0x1f609,0.1,0.337,0.563,0.463,0.7315
20,🙌,0x1f64c,0.101,0.238,0.661,0.559,0.7795000000000001
21,🙈,0x1f648,0.164,0.241,0.596,0.432,0.716
22,💪,0x1f4aa,0.072,0.301,0.627,0.555,0.7775000000000001
23,😄,0x1f604,0.137,0.305,0.558,0.421,0.7105
24,😒,0x1f612,0.591,0.192,0.217,-0.374,0.687
25,💃,0x1f483,0.045,0.177,0.779,0.734,0.867
26,💖,0x1f496,0.043,0.201,0.755,0.712,0.856
27,😃,0x1f603,0.072,0.299,0.629,0.557,0.7785
28,😔,0x1f614,0.464,0.219,0.318,-0.146,0.573
29,😱,0x1f631,0.264,0.282,0.454,0.19,0.595
30,🎉,0x1f389,0.039,0.184,0.777,0.738,0.869
31,😜,0x1f61c,0.112,0.322,0.566,0.455,0.7275
32,☯,0x262f,0.006,0.987,0.007,0.001,0.5005
33,🌸,0x1f338,0.04,0.27,0.69,0.65,0.825
34,💜,0x1f49c,0.045,0.257,0.699,0.654,0.827
35,💙,0x1f499,0.033,0.204,0.763,0.73,0.865
36,✨,0x2728,0.052,0.545,0.403,0.351,0.6755
37,😳,0x1f633,0.327,0.327,0.345,0.018,0.509
38,💗,0x1f497,0.051,0.241,0.708,0.657,0.8285
39,★,0x2605,0.031,0.655,0.314,0.283,0.6415
40,█,0x2588,0.09,0.853,0.057,-0.032,0.516
41,☀,0x2600,0.028,0.479,0.493,0.465,0.7325
42,😡,0x1f621,0.532,0.108,0.36,-0.173,0.5865
43,😎,0x1f60e,0.106,0.297,0.597,0.491,0.7455
44,😢,0x1f622,0.384,0.225,0.391,0.007,0.5035
45,💋,0x1f48b,0.039,0.231,0.73,0.691,0.8454999999999999
46,😋,0x1f60b,0.046,0.277,0.677,0.631,0.8155
