+----+---------+----------------+--------------+------------------+
|    | Date    |   Total Tweets |   Joy Tweets |   Joy Proportion |
|----+---------+----------------+--------------+------------------|
|  0 | 09-2019 |         440896 |          284 |      0.000644143 |
|  1 | 10-2019 |         470769 |          300 |      0.000637255 |
|  2 | 11-2019 |         426051 |          254 |      0.000596173 |
|  3 | 12-2019 |         436771 |          377 |      0.000863153 |
|  4 | 01-2020 |         444911 |          287 |      0.000645073 |
|  5 | 02-2020 |         434273 |          237 |      0.00054574  |
|  6 | 03-2020 |         505763 |          373 |      0.0007375   |
|  7 | 04-2020 |         431768 |          328 |      0.000759667 |
|  8 | 05-2020 |         415851 |          303 |      0.000728626 |
|  9 | 06-2020 |         386399 |          233 |      0.000603004 |
| 10 | 07-2020 |         407280 |          257 |      0.000631016 |
| 11 | 08-2020 |         418722 |          280 |      0.000668701 |
| 12 | 09-2020 |         398713 |          237 |      0.000594413 |
| 13 | 10-2020 |         409184 |          241 |      0.000588977 |
| 14 | 11-2020 |         432269 |          345 |      0.000798114 |
| 15 | 12-2020 |         358221 |          287 |      0.000801181 |
| 16 | 01-2021 |         353890 |          247 |      0.000697957 |
| 17 | 02-2021 |         284830 |          171 |      0.000600358 |
| 18 | 03-2021 |         299596 |          213 |      0.000710957 |
| 19 | 04-2021 |         286578 |          176 |      0.000614143 |
| 20 | 05-2021 |         276894 |          187 |      0.000675349 |
| 21 | 06-2021 |         281175 |          155 |      0.000551258 |
| 22 | 07-2021 |         306932 |          179 |      0.000583191 |
| 23 | 08-2021 |         321206 |          155 |      0.000482556 |
| 24 | 09-2021 |         310699 |          227 |      0.000730611 |
| 25 | 10-2021 |         323942 |          180 |      0.000555655 |
| 26 | 11-2021 |         285708 |          162 |      0.000567012 |
| 27 | 12-2021 |         290912 |          237 |      0.000814679 |
+----+---------+----------------+--------------+------------------+
