Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
958,2020-03-01T22:56:08+00:00,Autumn de Wilde is one of my favourite photographers and Anya Taylor-Joy is an incredible actress. i’m super excited for this to start,1234251100364124167,Dahlia,3,0,16,0,"Chicago, IL",,18575,3464,1,autumn de wilde one favourite photographers anya taylorjoy incredible actress ’ super excited start,autumn de wild is one of my favourit photographer and anya taylorjoy is an incredibl actres i ’ m super excited for thi to start,[]
2810,2020-03-01T20:28:09+00:00,"This was my loot from the con. Tried to find the Cayde-6 one. Was a joy to meet my college buddy @aleroart, my Destiny homies @niiightstalker, and @DaveARodriguez! Also @Bungie and @A_dmg04 check out @adulture for her amazing Osiris/Saint-14 works! https://t.co/4iKVLk5a2E",1234213859717718017,| REZO | chibithûn,0,0,7,0,"Chicago, IL",,3556,2673,1,loot con tried find cayde6 one joy meet college buddy aleroart destiny homies niiightstalker davearodriguez also bungie admg04 check adulture amazing osirissaint14 works,thi was my loot from the con tried to find the cayde6 one was a joy to meet my colleg buddy aleroart my destiny homie niiightstalker and davearodriguez also bungi and admg04 check out adultur for her amaz osirissaint14 work,[]
3284,2020-03-01T19:55:18+00:00,"@Mary_Js_ART @JoeBiden Mary,

ThanQ 4 sharing ur #Journey2JOE.

After all u've survived, I hope ur n a time+place of peace+joy now.

--Raj
👋🏾🐝😎🍀💙🇺🇸",1234205594766188545,Raj 🦅 #DemCast 🗽 Balasubramanian 🥁,0,1,0,0,"Chicago, IL",['Journey2JOE'],9547,5369,1,maryjsart joebiden marythanq 4 sharing ur journey2joeafter uve survived hope ur n timeplace peacejoy nowraj👋🏾🐝😎🍀💙🇺🇸,maryjsart joebiden marythanq 4 shar ur journey2joeafter all uve survived i hop ur n a timeplac of peacejoy nowraj👋🏾🐝😎🍀💙🇺🇸,"['waving_hand_medium-dark_skin_tone', 'honeybee', 'smiling_face_with_sunglasses', 'four_leaf_clover', 'blue_heart', 'United_States']"
5352,2020-03-01T17:27:06+00:00,Tomorrow is never promised. But puke on the sidewalk outside of Joy District every Saturday and Sunday morning is.,1234168296032702464,QuisHines10,1,1,1,0,"Chicago, IL",,653,611,1,tomorrow never promised puke sidewalk outside joy district every saturday sunday morning,tomorrow is never promised but puk on the sidewalk outsid of joy district every saturday and sunday morn is,[]
6884,2020-03-01T15:34:47+00:00,"When people love each other, the very angels leave heaven to visit their home and sing for joy. - Brahman proverb via @TaroGold",1234140033667432450,TOB,0,0,0,0,"Chicago, IL",,151,2624,1,people love angels leave heaven visit home sing joy brahman proverb via tarogold,when peopl lov each other the very angel leav heaven to visit their hom and s for joy brahman proverb via tarogold,[]
7030,2020-03-01T15:24:43+00:00,"Breakfast date with my favorite little dude 💗 aka daddy Jr.
•
•
• PS- it’s a new day of a new month. I believing in favor, abundance and pure child-like joy in the days ahead. Know, if you are reading this... YOU ARE… https://t.co/DqQ8saBFd0",1234137497229123585,Whitney Reynolds,0,0,3,0,"Chicago, IL",,4652,3188,1,breakfast date favorite little dude 💗 aka daddy jr••• ps ’ new day new month believing favor abundance pure childlike joy days ahead know reading are…,breakfast dat with my favorit littl dud 💗 aka daddy jr••• ps it ’ s a new day of a new month i believ in favor abundanc and pur childlik joy in the day ahead know if you are read thi you are…,['growing_heart']
8252,2020-03-01T13:11:26+00:00,"Wow. The joy of watching David Byrne doing “Once In A Lifetime” at 67 years old on #snl. Beautiful, just beautiful.",1234103958341390338,Phil Lueck,2,2,21,0,"Chicago, IL",['snl'],432,1569,1,wow joy watching david byrne “ lifetime ” 67 years old snl beautiful beautiful,wow the joy of watch david byrn do “ onc in a lifetim ” at 67 year old on snl beautiful just beautiful,[]
8456,2020-03-01T12:15:38+00:00,I cannot say enough wonderful things about @Eddie_197!! This just goes to show you what a great person he is. Thank you for bringing joy to the guests at #T2079. You’re one of a kind. @K2Virgilio @laurcountryman @tonypena  #worksomewhereyoulove https://t.co/cNFwpVgqlk,1234089913823481856,Chad Feltrin - Visual Merchandiser/Designer,0,3,5,0,"Chicago, IL","['T2079', 'worksomewhereyoulove']",368,570,1,say enough wonderful things eddie197 goes show great person thank bringing joy guests t2079 ’ one kind k2virgilio laurcountryman tonypena worksomewhereyoulove,i can not say enough wonderful thing about eddie197 thi just goe to show you what a great person he is thank you for bring joy to the guest at t2079 you ’ re one of a kind k2virgilio laurcountryman tonypena worksomewhereyoulov,[]
9153,2020-03-01T07:48:20+00:00,"@usafss74 @Kiaz19 @sie2sienna I understand how you feel, but I feel the joy they bring you while he or she is here, far outweighs the day you have to part with them.",1234022644963594240,Big Kev,0,0,0,0,"Chicago, IL",,994,1525,1,usafss74 kiaz19 sie2sienna understand feel feel joy bring far outweighs day part,usafss74 kiaz19 sie2sienna i understand how you feel but i feel the joy they br you whil he or she is her far outweigh the day you hav to part with them,[]
10638,2020-03-01T04:47:08+00:00,"OK, it’s just me, spreading joy to the world one tweet at a time. https://t.co/FEnm7sQF1l",1233977047149633536,Wookiee Boogie,0,0,3,0,"Chicago, IL",,1334,2609,1,ok ’ spreading joy world one tweet time,ok it ’ s just me spread joy to the world one tweet at a tim,[]
11745,2020-03-01T03:28:05+00:00,"These mild after sunset shades over the lake horizon always bring joy ... well thai solid ice must melt soon :) 
#Chicago #Belmont #Harbor #BelmontHarbor #Eveing #Sunset #BlueSkies #LakeMichigan #CalmWater… https://t.co/LxtWvXo7v8",1233957153259520000,Ahsan ツ,0,0,0,0,"Chicago, IL","['Chicago', 'Belmont', 'Harbor', 'BelmontHarbor', 'Eveing', 'Sunset', 'BlueSkies', 'LakeMichigan', 'CalmWater']",455,547,1,mild sunset shades lake horizon always bring joy well thai solid ice must melt soon chicago belmont harbor belmontharbor eveing sunset blueskies lakemichigan calmwater…,thes mild after sunset shade over the lak horizon alway br joy well thai solid ice must melt soon chicago belmont harbor belmontharbor eve sunset blueskie lakemichigan calmwater…,[]
11843,2020-03-01T03:18:47+00:00,#leapyear #thoseropeskillz #jumprope #f45teamtraining #functionaltraining #hiit #tag #getit f45_training_lincolnparknorth #jumpingforjoy #questleapyear leaping into all the fun and ready to jump for joy!!! Tomorrow I… https://t.co/RaC8OoQCPB,1233954810975535104,Donna Walker,0,1,2,0,"Chicago, IL","['leapyear', 'thoseropeskillz', 'jumprope', 'f45teamtraining', 'functionaltraining', 'hiit', 'tag', 'getit', 'jumpingforjoy', 'questleapyear']",159,473,1,leapyear thoseropeskillz jumprope f45teamtraining functionaltraining hiit tag getit f45traininglincolnparknorth jumpingforjoy questleapyear leaping fun ready jump joy tomorrow i…,leapyear thoseropeskillz jumprop f45teamtrain functionaltrain hiit tag getit f45traininglincolnparknorth jumpingforjoy questleapyear leap into all the fun and ready to jump for joy tomorrow i…,[]
13846,2020-03-01T01:16:02+00:00,"GET RAW THIS PURIM! Partnering with Chicago Raw on the menu, we bring you Raw Joy this Purim. Generate super rational joy for the whole year! 
With Music, tremendous Purim Feast, Costumes and raffles and the Magic of… https://t.co/ComkJmxP1u",1233923920425865216,Chabad of Downtown,0,0,0,0,"Chicago, IL",,556,291,1,get raw purim partnering chicago raw menu bring raw joy purim generate super rational joy whole year music tremendous purim feast costumes raffles magic of…,get raw thi purim partner with chicago raw on the menu we br you raw joy thi purim generat super rational joy for the whol year with music tremendou purim feast costume and raffle and the magic of…,[]
13863,2020-03-01T01:14:54+00:00,Pure joy. ❤️ #NieceFest2020 @ The Godfrey Hotel https://t.co/Hb7k2TzSXZ,1233923635443748865,Misanthropista ✊🏼🌊,0,0,1,0,"Chicago, IL",['NieceFest2020'],803,1645,1,pure joy ❤️ niecefest2020 godfrey hotel,pur joy ❤️ niecefest2020 the godfrey hotel,['red_heart']
15980,2020-03-02T22:42:21+00:00,@galambagosislnd that brings me joy! humanity is good!!!!!,1234610020320452609,pay10,0,0,0,0,"Chicago, IL",,23,52,1,galambagosislnd brings joy humanity good,galambagosislnd that bring me joy humanity is good,[]
19008,2020-03-02T18:30:47+00:00,This pic need deodorant x shea butter x Dr. Joy DeGruy’s book “Post Traumatic Slave Syndrome” 💁🏿‍♂️ https://t.co/2TdkxJtBA7,1234546713521684480,ᒪ ᗩ S S ᗩ ᓰ,2,0,3,0,"Chicago, IL",,593,197,1,pic need deodorant x shea butter x dr joy degruy ’ book “ post traumatic slave syndrome ” 💁🏿‍♂️,thi pic need deodorant x shea butter x dr joy degruy ’ s book “ post traumatic slav syndrom ” 💁🏿‍♂️,['man_tipping_hand_dark_skin_tone']
19070,2020-03-02T18:25:04+00:00,"Journal spread for week 8 of #wanderlust2020 ""joy"". Its fun to go step by step and see how different everyone interprets the prompts. @ The Collage Cafe https://t.co/kInLONv6qv",1234545274523136001,The Collage Cafe,0,0,0,0,"Evanston, IL",['wanderlust2020'],313,444,1,journal spread week 8 wanderlust2020 joy fun go step step see different everyone interprets prompts collage cafe,journal spread for week 8 of wanderlust2020 joy its fun to go step by step and see how different everyon interpret the prompt the collag caf,[]
19882,2020-03-02T17:11:55+00:00,"And that’s the cherry on the cake of a great weekend - always just joy to connect with my Chi-Fam. Good times in the city with Pat &amp; Jackie 🇺🇸 ❤️🇮🇪 Time to hit the skies again ✈️ 
•
•
#chicago #oldfriends #grateful @… https://t.co/DKLgZLRxen",1234526864917569536,Diarmaid Murtagh,0,0,3,0,"Chicago, IL","['chicago', 'oldfriends', 'grateful']",2161,944,1,’ cherry cake great weekend always joy connect chifam good times city pat amp jackie 🇺🇸 ❤️🇮🇪 time hit skies ✈️ ••chicago oldfriends grateful …,and that ’ s the cherry on the cak of a great weekend alway just joy to connect with my chifam good time in the city with pat amp jacki 🇺🇸 ❤️🇮🇪 tim to hit the skie again ✈️ ••chicago oldfriend grateful …,"['United_States', 'red_heart', 'Ireland', 'airplane']"
20441,2020-03-02T16:27:06+00:00,"smells like you. 

thanks for getting my pride and joy @flrlgrn https://t.co/8BYcZ0kNbf",1234515585293332481,ursula jones,0,2,68,0,Wild Wind Tattoo,,7640,891,1,smells like thanks getting pride joy flrlgrn,smell lik you thank for gett my prid and joy flrlgrn,[]
23417,2020-03-02T06:35:49+00:00,Heart Bones at the Bottle. An hour of absolute joy. @ Empty Bottle https://t.co/jCEYC8WpM2,1234366785752793093,Geraldo Ribera,0,0,2,0,"Chicago, IL",,548,1577,1,heart bones bottle hour absolute joy empty bottle,heart bone at the bottl an hour of absolut joy empty bottl,[]
23555,2020-03-02T06:11:36+00:00,This brought me joy. https://t.co/XpssGEP8dH,1234360688337969152,Harish I. Patel,0,0,0,0,"Chicago, IL",,2724,5002,1,brought joy,thi brought me joy,[]
23877,2020-03-02T05:23:13+00:00,@MajorPhilebrity I needed this type of joy tonight lol,1234348515989622784,Keith D. Garcia,0,0,0,0,"Chicago, IL",,1609,2392,1,majorphilebrity needed type joy tonight lol,majorphilebrity i needed thi typ of joy tonight lol,[]
25414,2020-03-02T03:07:24+00:00,Thank you so much to the cast of #CriticalRole for being so wonderful! Shaking the hands and smiling with your hero’s can breath new life into you. Too much joy to say for one picture ❤️ https://t.co/Tmi0nsNroj,1234314335394111489,sky,0,0,1,0,"Chicago, IL",['CriticalRole'],28,149,1,thank much cast criticalrole wonderful shaking hands smiling hero ’ breath new life much joy say one picture ❤️,thank you so much to the cast of criticalrol for be so wonderful shak the hand and smil with your hero ’ s can breath new lif into you too much joy to say for one pictur ❤️,['red_heart']
26678,2020-03-02T01:35:12+00:00,Comparison kills the joy of everything. It's also like stabbing yourself in the back. All you end up doing is building up your insecurites and drowning yourself in self doubt. I fall short of doing this sometime… https://t.co/x6gFdl25je,1234291133590667265,BIG CASSO,0,0,0,0,"Chicago, IL",,40,126,1,comparison kills joy everything also like stabbing back end building insecurites drowning self doubt fall short sometime…,comparison kill the joy of everyth its also lik stabb yourself in the back all you end up do is build up your insecurite and drown yourself in self doubt i fall short of do thi sometime…,[]
27733,2020-03-02T00:20:28+00:00,@iloveblink182 Omg he had a meet and greet thing at joy district 🤍,1234272323743686661,Allie Kantorr🐞🎃👻,0,0,0,0,"Chicago, IL",,215,237,1,iloveblink182 omg meet greet thing joy district 🤍,iloveblink182 omg he had a meet and greet th at joy district 🤍,['white_heart']
27953,2020-03-02T00:06:07+00:00,Toï-toï-toï to my amazing FLOOR SHOW family on tonight’s closing performance of our premiere run @chopintheatre. It’s been such a joy to work with these outstanding artists and technicians. #FLOORSHOW https://t.co/bXQqGDfwKA,1234268712376688642,Zachary Whittenburg,1,1,8,0,Chopin Theatre,['FLOORSHOW'],2338,1758,1,toïtoïtoï amazing floor show family tonight ’ closing performance premiere run chopintheatre ’ joy work outstanding artists technicians floorshow,toïtoïtoï to my amaz floor show family on tonight ’ s clos performanc of our premier run chopintheatr it ’ s been such a joy to work with thes outstand artist and technician floorshow,[]
28279,2020-03-03T23:43:01+00:00,@samjcharles @rhodes_dawn Mounds and Almond Joy are actually great. You’re both crazy.,1234987675259506689,Jeremy Gorner,2,0,7,0,"Chicago, IL",,7948,3940,1,samjcharles rhodesdawn mounds almond joy actually great ’ crazy,samjcharle rhodesdawn mound and almond joy are actually great you ’ re both crazy,[]
28317,2020-03-03T23:40:44+00:00,"Everyone that worked hard today for our movement; that voted for Bernie, thank you. #NotMeUs will prevail, b/c it is all about love &amp; compassion, things neither major party have in mind. We will transform this country; justice, peace, &amp; joy will be our outcomes. Let’s win! https://t.co/k29LqT9CGr",1234987101545881600,Matty Zaradich,0,0,12,0,"Chicago, IL",['NotMeUs'],2768,2099,1,everyone worked hard today movement voted bernie thank notmeus prevail bc love amp compassion things neither major party mind transform country justice peace amp joy outcomes let ’ win,everyon that worked hard today for our movement that voted for berni thank you notmeu will prevail bc it is all about lov amp compassion thing neither major party hav in mind we will transform thi country justic peac amp joy will be our outcome let ’ s win,[]
29609,2020-03-03T22:12:25+00:00,@MargaretLovell It was a joy voting for her twice in 16!,1234964876424077318,NewDemocrat4Life,1,0,0,0,"Chicago, IL",,15788,1998,1,margaretlovell joy voting twice 16,margaretlovell it was a joy vot for her twic in 16,[]
30359,2020-03-03T21:03:39+00:00,"GET RAW THIS PURIM! Partnering with Chicago Raw on the menu, we bring you Raw Joy this Purim. Generate super rational joy for the whole year! 
With Music, tremendous Purim Feast, Costumes and raffles and the Magic… https://t.co/PYuCXHQ6IY",1234947570633494528,Chabad of Downtown,0,1,1,0,"Chicago, IL",,556,291,1,get raw purim partnering chicago raw menu bring raw joy purim generate super rational joy whole year music tremendous purim feast costumes raffles magic…,get raw thi purim partner with chicago raw on the menu we br you raw joy thi purim generat super rational joy for the whol year with music tremendou purim feast costume and raffle and the magic…,[]
31568,2020-03-03T19:27:28+00:00,"Folks you see on AM JOY holding round tables... Brand building.

Maybe Jason Elie and Tiffany will have their own tv show in season  5-8 of Donald dumbass from 21-25. https://t.co/HXSHaNLedT",1234923364449476614,NewDemocrat4Life,1,0,3,0,"Chicago, IL",,15788,1998,1,folks see joy holding round tables brand buildingmaybe jason elie tiffany tv show season 58 donald dumbass 2125,folk you see on am joy hold round table brand buildingmayb jason eli and tiffany will hav their own tv show in season 58 of donald dumbas from 2125,[]
