,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy
2056,2020-05-01T21:03:01+00:00,@insanitysrevolt My one source of joy taken by paparazzi 😒 lmao,1256328292644188160,david jude,1,0,1,0,Chicago,,602,376,1
2776,2020-05-01T20:07:07+00:00,"Candidate details:

• Seasoned iPhone + iPad design experience (must)
• Interaction (animations) a HUGE +
• Loves @figmadesign
• USA only
• Available ASAP

Send me 2 projects that bring you joy and show off your skillset! 🙌🏼❤️

#jobs #design",1256314227796480001,Juan (高志),2,2,8,1,Evanston,"['jobs', 'design']",3226,598,1
3968,2020-05-01T18:28:11+00:00,"Elaiyah is a joy to watch. Has a motor always finds her self in the right spots to make a play. Got in the gym and got her mid- range game together &amp; She’s only getting better!  
#WeAreMEANSTREETS🏀
#BlueSmoke💨 https://t.co/2yLAgRV0Tg",1256289328935964672,Lady Meanstreets,0,2,3,0,Robbins,"['WeAreMEANSTREETS', 'BlueSmoke']",884,765,1
4630,2020-05-01T17:35:39+00:00,"Good afternoon &amp; Happy Friday beauties, thank God for this day and allowing us to see the month of May. May it bring continued health, joy, love, peace, wealth, and abundance.  Love you guys! #EpitomeofBeaute… https://t.co/yZBroUf8F0",1256276108137332737,Epitome of Beaute,0,0,0,0,Chicago,['EpitomeofBeaute'],304,1080,1
6221,2020-05-01T15:31:38+00:00,@thrasherxy this tweet brings me joy,1256244900787601408,"Kathryn Macapagal, PhD ✨",1,0,1,0,Chicago,,1671,1405,1
6629,2020-05-01T15:00:38+00:00,"#Happiness 101.
🌈💜🦋🌎💫

#IAm #Joy
#JoyTrain https://t.co/1aCZPpEf46",1256237096882274313,"PureEsperanza, NFP",0,0,2,0,Chicago,"['Happiness', 'IAm', 'Joy', 'JoyTrain']",2785,2462,1
7057,2020-05-01T14:21:30+00:00,"That #tutu life.
This week I chose a dark, rainy day to spread Joy. 
Thanks to the generous donations of so many people, I was able to deliver gift bags of school supplies to my students. 
Some days it is the little… https://t.co/4mSz2BhnIk",1256227250468519936,#tutulady (she/her) Kristine,0,0,0,0,Chicago,['tutu'],235,521,1
12106,2020-05-01T02:04:31+00:00,"@ChrisCuomo making me cry.  @AC360 congratulations on a beautiful, perfect bundle of joy!  You are going to be amazing as a Daddio!",1256041779561992192,"Ms.Johnson,Please!💙🧩🔥💯😇",0,0,0,0,Chicago,,4371,4930,1
12888,2020-05-01T01:05:28+00:00,And now sobbing; of course Lil Sebastian still has the power to bring joy #ParksAndRec https://t.co/RhIsD8Jh1r https://t.co/5coaLzPppt,1256026923098165248,Diana Schumacher Walsh,0,0,0,0,Chicago,['ParksAndRec'],265,256,1
14073,2020-05-02T23:38:44+00:00,I cannot even begin to tell you how much joy my student’s final project brought me. https://t.co/eSBAO8mBvj #communitycollegerocks,1256729871130206208,Morgan Halstead she/her,2,0,3,1,Chicago,['communitycollegerocks'],321,1462,1
15419,2020-05-02T21:40:00+00:00,"@stephenpdmorris @gillian_gilbert @Tim_Burgess @neworder @joydivision - Tuesday May 5 - showing our love for New Order &amp; Joy Division videos @ 8pm (CST). Hope everyone can tune in! 
https://t.co/sVeAYRfsmB
https://t.co/3wse45O97C https://t.co/irODIrWl6o",1256699989750878209,Neo Nightclub,0,2,2,1,Debonair Social Club,,2250,833,1
16051,2020-05-02T20:41:12+00:00,Life is certainly different than February but hasn't stopped and there are moments of #Joy if you look for them.  #Spring is in bloom!🌺❤😊 #Covid19 #MentalhealthduringCovid19 Grateful to the police presence enforcing #SocialDistancing https://t.co/9xncgVN2nW,1256685193932439552,Michelle Steltzer,0,0,3,0,Old Town Triangle District,"['Joy', 'Spring', 'Covid19', 'MentalhealthduringCovid19', 'SocialDistancing']",1022,2817,1
18290,2020-05-02T17:26:37+00:00,Y Coumo keep interruptin joy Reid,1256636223927574528,Odessa Haynes,0,0,0,0,Chicago,,54,285,1
22203,2020-05-02T06:34:58+00:00,Reading in such a relaxing joy of comfort! https://t.co/Irqg9z84Cv,1256472230030127104,TheMostBeautifulBoogieman!,0,0,0,0,Chicago,,56,253,1
24749,2020-05-02T02:16:34+00:00,"2022 CG Jacia “The Show” Cunningham is a joy to watch 
🍿🚀🔥 ! Strong crafty guard that gets down hill and finish through contact ! Scores on all 3 levels. JC has a nice feel for the game and the ability to just takeover games down the stretch. 
#WeAreMEANSTREETS🏀 
#BlueSmoke💨 https://t.co/goBLT8DVF7",1256407201243111429,Joshua Brown,0,4,6,2,Robbins,"['WeAreMEANSTREETS', 'BlueSmoke']",2429,1943,1
25251,2020-05-02T01:38:09+00:00,"Tonight’s #DragRace episode filled my heart with such joy!!!!!! When this show is good, it transcends entertainment and becomes stunning, important television!!!!!",1256397534546755585,Andy Herren,2,2,93,0,Chicago,['DragRace'],95231,885,1
25639,2020-05-02T01:11:38+00:00,"Dear Lawdt, 

Thank you because I needed this joy in my life today. 

Amen https://t.co/3XP68UByfZ",1256390860889088000,thefatgirloffashion,0,0,2,1,Chicago,,2714,434,1
26800,2020-05-03T23:24:42+00:00,"Things that bring me joy. #plants #plantmom #monsteraadansonii @ Chicago, Illinois https://t.co/0l6jIUV29K",1257088725982629888,#tutulady (she/her) Kristine,0,0,0,0,Chicago,"['plants', 'plantmom', 'monsteraadansonii']",235,521,1
27120,2020-05-03T22:52:37+00:00,"@notorious_exg I am SO happy for you, this is incredible! I was in the same boat and was able to borrow from a former grad as well. 

Your pictures just exude joy, and the fact you got this picture with your momma is bad ass. Congrats!! ❤️",1257080650089336832,le petit chef,1,0,1,0,Chicago,,718,495,1
28014,2020-05-03T21:27:20+00:00,"I’ll never forget the joy in the city of Chicago during the 2010-2011 season.
he was electrifying.
brought the city together, rooting for their own son.
I’ll always love him for that. 🌹 https://t.co/mWxIwfdlyG",1257059189542850560,Kristie Kahns 🎞📷,0,0,3,0,Chicago,,68,523,1
28107,2020-05-03T21:18:07+00:00,@Honda 300k miles on my 2003 Pilot finally happened. I screamed out of pure joy at how good my Pilot has been to me &amp; my family. Passing it down to my teenager soon. She's the reason we bought it almost 18yrs ago. #LoveMyPilot https://t.co/YA8yR9Qt4p,1257056872265383937,Claudia,1,0,0,0,Chicago,['LoveMyPilot'],8,238,1
28870,2020-05-03T20:02:17+00:00,"“Watching my lil' boy play with toys,
I just dropped a tear of joy,
some shit that I feel for.
I been going crazy with that scoring call me baby Harden, they say I'll be great I guess I'm waiting for it.. “
- @lilbaby4PF    #emotionallyscarred",1257037785451638791,Shaul Peters,0,0,0,0,Skokie,['emotionallyscarred'],144,393,1
29315,2020-05-03T19:25:39+00:00,"I am so sorry, homemade bread baking white devil, how DARE I want to make my own bread for my own joy. My lowly brown ass shouldn’t dare make any. But if I catch you making tortillas you will meet the wrath of my mortar and pestle. https://t.co/oPORLIE3EY",1257028565247365120,⌛️𝕯𝖎𝖒𝖊𝖓𝖘𝖎𝖔𝖓⭐️𝖂𝖎𝖙𝖈𝖍⏳,1,0,2,0,Chicago,,71,305,1
29428,2020-05-03T19:15:08+00:00,Joy in the midst of sorrow.  Congrats to my brother @SisoNtuli and his family on their new addition!! https://t.co/L372zh0Mbm,1257025922001223680,Aaron McGriff,4,0,21,1,Chicago,,3602,1435,1
