,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy
169367,2020-05-14T21:43:21+00:00,@erinmhegarty @ecalnan @MelissaMadian You headed to The 6?,1261049486148882433,AStrandmark,0,0,0,0,Chicago,,227,606,0
280058,2020-05-22T21:51:55+00:00,Forgot to mention that the building heights and sizes are to scale by the way https://t.co/CbPSckZuiJ,1263950745080147970,Fully Vaxxed Paul M. Banks,1,1,3,0,Chicago,,3696,945,0
214191,2020-05-17T17:03:59+00:00,"i remember my ex referred me as his girl when I met his mom n i’m like sir, we are not together &amp; he almost choked me out (playfully) lmfao",1262066345581129729,🇬🇹,0,0,0,0,Chicago,,429,324,0
205235,2020-05-16T04:45:09+00:00,@MattKonopkaKHC @MutantTheater2 @Shudder @therealjoebob @kinky_horror Yes yes yes! Like stand up and cheer at the end fun!,1261518024340799488,Friendly Gayborhood Daddyman,0,1,3,0,Chicago,,3216,1606,0
297517,2020-05-23T17:05:21+00:00,@IndianasJourney @TheRightMelissa @realDonaldTrump @cthagod No no it’s not.,1264241015856267264,Sean Carlson,0,0,0,0,Chicago,,237,1623,0
93487,2020-05-08T19:50:11+00:00,My brothers addicted to stick talkkkkk,1258846678855057410,GloryGirlTaya,0,0,0,0,Chicago,,72,209,0
330159,2020-05-26T23:17:29+00:00,@batbootyho True but I just got tied of getting Detective Konan association everytime I meet someone in Japan haha,1265421832565526530,Rideth 餅 | ANYC AA M24 | Alpaca Vtuber vKa,0,0,1,0,Chicago,,1679,666,0
106309,2020-05-09T20:19:45+00:00,@PackersForTheWn @PFF_Packers John Brockington,1259216510175842305,johnwray,0,0,0,0,Chicago,,136,1932,0
111792,2020-05-09T08:22:59+00:00,"Thinking about the time where i told my creative writing teacher that growing up being left handed people would say the dumbest shit, think im evil, and make me feel bad for it and she deadass looked me in the eyes and said shes never heard someone do that",1259036129451479040,kanao ♡ #SaveSheikhJarrah,1,0,1,0,Oak Lawn,,1386,998,0
129026,2020-05-11T22:57:46+00:00,@TheeDreadGod @doloxjxy Ignorance beats logic when logic fails to work,1259981050371092487,Flexin,0,0,0,0,Chicago,,92,91,0
250203,2020-05-19T01:19:26+00:00,"Regrets are real and time does heal.
- JuiCe",1262553418310266880,Justyn “JUICE” Vaughn,0,0,1,0,Forest Park,,548,887,0
21199,2020-05-02T12:40:52+00:00,"This addresses my most nagging doubt abt #TaraReadeJoeBiden &amp; makes it nag more.

As thread says, this isn't a final judgment (which never may be possible). But it reflects my own sense of how improbable that a story like this in tiny world of DC wouldn't have surfaced in '08. https://t.co/CAWcDpKa1X",1256564313722142721,𝚂𝚝𝚎𝚟𝚎 𝙼𝚒𝚕𝚕𝚒𝚎𝚜,0,1,1,1,Evergreen Park,['TaraReadeJoeBiden'],2722,3284,0
362488,2020-05-28T15:11:33+00:00,I support them. Those retailers will be fine.,1266024317260894213,𝑀𝓈. 𝒮𝓌𝑒𝑒𝓉 𝒫𝑜𝓉𝒶𝓉𝑜 𝒫𝒾𝑒,0,0,0,0,Chicago,,646,1553,0
10459,2020-05-01T04:24:28+00:00,"@swaintrain6 -&gt; 9/11 thwarted
-&gt; Coronavirus prevented",1256077001124954114,#Quackron,1,0,1,0,Chicago,,765,1108,0
67000,2020-05-06T19:54:21+00:00,@brantheelite 😍,1258122952052277248,Dottie Hinkle,0,0,0,0,Chicago,,2944,962,0
243948,2020-05-19T16:05:25+00:00,This one made me laugh. That’s funny in a my brain hurts sort of way. https://t.co/ob0tW2jibp https://t.co/bO1047zhfg,1262776382364532736,Will Limestall 🇺🇸,1,2,9,1,Chicago,,1200,2586,0
184468,2020-05-15T20:12:04+00:00,If all y’all do desperately wanted to watch avatar the last air bender then why did you just find it online as watch it?? I don’t understand..,1261388902310359041,Deranged Twink,1,0,2,0,Chicago,,693,1209,0
