,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,sentiment_score
2872,2021-11-01T18:07:53+00:00,So I barely have to take the train because my commute doesn’t work that way. But I’m about to start jumping on the @cta for joy rides just because. 💙💛 @chicagosky https://t.co/ANTSo5CZBF,1455235160937467910,Zaida DeGuzman,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",,171,217,1,0.74
3475,2021-11-01T16:58:15+00:00,Sekiwe Mahlangu has the sweetest mother. Mama Ndileka is such a joy!,1455217634232971269,Devinity,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,233,181,1,0.62
4296,2021-11-01T15:31:00+00:00,"It brings me no joy to destroy my wife in our matchup this week, but I also didn’t wanna fall under .500. Sorry not sorry 😅😶‍🌫️ #NFL #FantasyFootball @YahooFantasy https://t.co/G2PL0BhXKm",1455195676200116228,David Ruiz,0,1,3,0,"[-87.805698, 41.8650062]","Oak Park, IL","['NFL', 'FantasyFootball']",1462,2856,1,-0.14
4862,2021-11-01T14:28:44+00:00,"Chicago ✈NYC for #NFTNYC2021 

Meeting FAM IRL for @NFT_NYC &amp; beyond. The Happy Little Hypebeast event w/ @ARTZisArtsy &amp; the Dreamers gonna be off the ⛓ 

The ""Joy of Minting"" is live https://t.co/yDthkPMtEI 
https://t.co/cxw9BDS2Iv https://t.co/HqthaDYkhj",1455180007303753736,J.J. Weinberg,5,3,15,0,"[-87.74228811264038, 41.78763300835753]",Chicago Midway International Airport (MDW),['NFTNYC2021'],1174,1154,1,0.82
5449,2021-11-01T12:53:12+00:00,7:39 am. There’s still an Almond Joy left down the street. No one wants Almond Joy. https://t.co/WBEQK0StrY,1455155964601114627,Caffeinated and Boosted Carmin,2,0,12,0,"[-87.940033, 41.644102]","Chicago, IL",,1448,4994,1,0.75
6988,2021-11-01T03:17:35+00:00,"Last Night in SoHo was a banger! Incredibly dazzling cinematography and sound mixing, Anya Taylor-Joy stole the show. Truly thrilling. I'm glad movies are becoming good again.",1455011109384097797,MAXVVELL🪐,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,340,663,1,0.9
7675,2021-11-01T02:08:27+00:00,"The worst Halloween  candy is Bit-O-Honey, this isn’t even controversial. Second worst is Almond Joy and Mounds, also not controversial.",1454993709309759499,Monocleman1.eth,28,0,45,0,"[-87.8615841, 41.805304]","Brookfield, IL",,5808,5996,1,-0.79
8196,2021-11-01T01:17:41+00:00,"total of 4 events this weekend to bring joy through candy...in some of these childrens eyes I saw the weight of the world....but in the same kids,as well as, others....I saw candy lift the weight for a moment...and that....that moment...made it all worth it",1454980932256022528,Pastor Donovan Price,6,7,61,0,"[-87.940033, 41.644102]","Chicago, IL",,4408,5001,1,0.78
9885,2021-11-02T22:29:38+00:00,@thesageRR3 Pure joy. https://t.co/I998colwzR,1455663419852472326,Alexis,1,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",,1951,895,1,0.59
13345,2021-11-02T15:48:11+00:00,I am blessed to have south facing windows in my apartment. Waking up to these orange and pink sunrises at around 7am every day these past few weeks and just looking at the sky while lying in bed floods me with inner peace and joy. https://t.co/Jr8AgRQnIV,1455562390737719300,Emma GZ R 📍🗺️✨,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",,708,503,1,0.83
13998,2021-11-02T14:33:05+00:00,"Seeing Megan win brings me so much joy man. 

She genuinely seems like a good ass person. https://t.co/eUoyssSSlr",1455543489970716680,Kanye Clark-Sheard,1,1,9,0,"[-87.940033, 41.644102]","Chicago, IL",,1592,853,1,0.87
16529,2021-11-02T03:09:35+00:00,ik its weird but the joy i get looking into other peoples windows at night especially when im passing by on a train is unmeasured,1455371484017446914,👾,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,11,11,1,0.7
17202,2021-11-02T02:09:04+00:00,"This is a blasphemous claim, Joy! Let’s set up a time to discuss and test your theory https://t.co/vfWz2UbzwK",1455356252113022979,Juan Legend,0,0,10,0,"[-87.940033, 41.644102]","Chicago, IL",,419,707,1,0.62
18432,2021-11-02T00:37:34+00:00,"It’s Hard To Express Joy When You Are Frustrated!
@simongordon1",1455333227103674372,Triedstone Church of Chicago,0,0,0,0,"[-87.658155, 41.70466482639313]",Triedstone Full Gospel Baptist Church,,383,19,1,0.0
19968,2021-11-03T22:03:07+00:00,Alrighty! I’m settled in for the night in Chicago. I’ll head home to Detroit via the Wolverine line (I’ve done this many times) tomorrow at 1 pm. It’s been a JOY to share this journey with old and new friends. Cheers to more wide-open spaces. @Amtrak see ya soon! https://t.co/pNathMbehf,1456019131560566795,Candice Fortman,2,0,42,0,"[-87.940033, 41.644102]","Chicago, IL",,5054,2947,1,0.93
