+---------+----------------+--------------+---------------------------+
| 0       |   Total Tweets |   Joy Tweets |   Joy Proportion (x10^-4) |
|---------+----------------+--------------+---------------------------|
| 09-2019 |         440896 |          284 |                   6.44143 |
| 10-2019 |         470769 |          300 |                   6.37255 |
| 11-2019 |         426051 |          254 |                   5.96173 |
| 12-2019 |         436771 |          377 |                   8.63153 |
| 01-2020 |         444911 |          287 |                   6.45073 |
| 02-2020 |         434273 |          237 |                   5.4574  |
| 03-2020 |         505763 |          373 |                   7.375   |
| 04-2020 |         431768 |          328 |                   7.59667 |
| 05-2020 |         415851 |          303 |                   7.28626 |
| 06-2020 |         386399 |          233 |                   6.03004 |
| 07-2020 |         407280 |          257 |                   6.31016 |
| 08-2020 |         418722 |          280 |                   6.68701 |
| 09-2020 |         398713 |          237 |                   5.94413 |
| 10-2020 |         409184 |          241 |                   5.88977 |
| 11-2020 |         432269 |          345 |                   7.98114 |
| 12-2020 |         358221 |          287 |                   8.01181 |
| 01-2021 |         353890 |          247 |                   6.97957 |
| 02-2021 |         284830 |          171 |                   6.00358 |
| 03-2021 |         299596 |          213 |                   7.10957 |
| 04-2021 |         286578 |          176 |                   6.14143 |
| 05-2021 |         276894 |          187 |                   6.75349 |
| 06-2021 |         281175 |          155 |                   5.51258 |
| 07-2021 |         306932 |          179 |                   5.83191 |
| 08-2021 |         321206 |          155 |                   4.82556 |
| 09-2021 |         310699 |          227 |                   7.30611 |
| 10-2021 |         323942 |          180 |                   5.55655 |
| 11-2021 |         285708 |          162 |                   5.67012 |
| 12-2021 |         290912 |          237 |                   8.14679 |
| 01-2022 |         220265 |          127 |                   5.76578 |
+---------+----------------+--------------+---------------------------+
