,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
1211,2020-08-01T22:14:54+00:00,"@DrAGonzMD Love the “life in the OR” pix. And most photos that show the challenges, joy and fun of our work, our amazing teams, our trainees, and us being ourselves in and out of the hospital (yay swimwear, yay cocktails). But when it comes to specific cases and specific patients...",1289686067075887104,Jeff Matthews MD,0,0,9,0,"[-87.940033, 41.644102]","Chicago, IL",0,9822,1566,1
1253,2020-08-01T22:11:37+00:00,happy gf day to yeji ryujin aisha rosé jennie joy and irene 😁💗,1289685243289645056,genie,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,690,247,1
2357,2020-08-01T20:35:11+00:00,Nothing can steal my joy throughout the day except for myself...,1289660972563484673,BT 🇵🇦,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,709,507,1
3011,2020-08-01T19:46:52+00:00,@mistercodester For some reason this reminded me of the MOUNDS and Almond Joy commercials 'sometimes you feel like a nut',1289648815713054720,Bruce le parisien ute fan,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,1380,4277,1
4134,2020-08-01T18:24:09+00:00,#kudos @brookekash britt_buchanan danaa_walshh @boschtoolsna #givingback to #tradesmen &amp; #tradeswomen #frontlineworkers #dayone #pandemic #speading #joy #cheer #tshirt #stickers #mask #hardhat #fultonmarket #chicago… https://t.co/FXtjoMQrg4,1289627999730454529,csc+,0,0,0,0,"[-87.65167236, 41.88673573]","Chicago, IL","['kudos', 'givingback', 'tradesmen', 'tradeswomen', 'frontlineworkers', 'dayone', 'pandemic', 'speading', 'joy', 'cheer', 'tshirt', 'stickers', 'mask', 'hardhat', 'fultonmarket', 'chicago']",412,1932,1
4264,2020-08-01T18:12:40+00:00,#kudos @brookekash britt_buchanan danaa_walshh @boschtoolsna #givingback    to #tradesmen &amp; #tradeswomen #frontlineworkers #dayone #pandemic #speading #joy #cheer #tshirt #stickers #mask #hardhat #fultonmarket… https://t.co/lOxJFJ7z6Z,1289625108487606273,csc+,0,0,0,0,"[-87.65167236, 41.88673573]","Chicago, IL","['kudos', 'givingback', 'tradesmen', 'tradeswomen', 'frontlineworkers', 'dayone', 'pandemic', 'speading', 'joy', 'cheer', 'tshirt', 'stickers', 'mask', 'hardhat', 'fultonmarket']",412,1932,1
5138,2020-08-01T17:06:36+00:00,"@therealjoebob Thank YOU for coming back and bringing the amount of joy you bring to our lives! You said in @kinky_horror’s podcast episode you wanted the show to be an oasis for us and believe me - you succeeded! 
Looking forward to the pajama party and everything else you have in the works! https://t.co/SoxFWJg7Ez",1289608481385771009,Friendly Gayborhood Daddyman,0,0,12,0,"[-87.940033, 41.644102]","Chicago, IL",0,3223,1607,1
5248,2020-08-01T16:58:19+00:00,The joy of throwing Sheryl Sandberg’s book in the discard bin,1289606397747896320,Mandy Medley,1,0,21,0,"[-87.940033, 41.644102]","Chicago, IL",0,2381,1739,1
6444,2020-08-01T15:18:37+00:00,Joy should have won season 12 of Hell’s Kitchen...... she should have,1289581307278721028,hoeisha,0,0,0,0,"[-87.825792, 42.022717]","Morton Grove, IL",0,771,687,1
7128,2020-08-01T14:18:54+00:00,We will miss you @flip89 Your heart was pure and joy followed wherever you went. fluke808 and I are so honored to have had you in our lives. When I will walk by #cloudgate (or your beloved “Bean”) I will always think… https://t.co/NDGI1156di,1289566277833351169,Bernadette,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL",['cloudgate'],173,246,1
7640,2020-08-01T13:21:48+00:00,"'He who trusts himself is lost. He who trusts God can do all things' St Alphonsus Ligouri, Founder of the Redemptorists, emphasized simplicity in preaching the Gospel &amp; encouraged priests to emphasise the joy &amp; mercy found in the confessional. Patron of Vocations, pray for us. https://t.co/6cMI0ENug6",1289551907795677184,Kathleen Burke,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1459,2439,1
8377,2020-08-01T10:01:24+00:00,"The Lord wraps his merciful &amp; Graceful arms around you and comfort anything that troubles or Pains you and cast it into the pits of Hell in Jesus name , The Joy of the Lord strengthens you in Jesus Name I Love ❤️ you❤️🙏😊❤️ https://t.co/OmvoLNoTC0",1289501478223253504,Lenora Sutton,0,0,0,0,"[-87.8194653, 41.95677]","Harwood Heights, IL",0,14,31,1
9378,2020-08-01T05:10:22+00:00,"yes. i watched @Beyonce #BlackIsKing with my sonshine.
remarkable. imaging is everything.
the questions we both had 🤯 the amazement and black boy ✨joy 
was 🔥 #boymom",1289428236980477953,Dr. Kyla Mathews,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['BlackIsKing', 'boymom']",417,1131,1
11270,2020-08-01T02:44:56+00:00,Just overwhelmed with joy. #BlackIsKing,1289391637253066753,brown butter bev,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",['BlackIsKing'],317,399,1
15010,2020-08-02T22:09:57+00:00,"@asianvelma U are talented, smart, and an absolute joy to talk to !! I love u and ur energy u make me feel happy and comfortable and loved always :-) ♥️♥️♥️",1290047208436510726,فاروق,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,521,144,1
