,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
243239,2021-07-26T18:04:46+00:00,At the dentist about to die,1419720363441889280,Yo man left you for dead hoe,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,870,261,0
199623,2021-07-21T01:45:42+00:00,@gidero1 She most likely was suffering from miscarriage,1417662035953917960,KJTHEGREAT ✍🏾,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,1580,947,0
132204,2021-07-14T00:52:15+00:00,The ringing noise on the #AllStarGame broadcast is driving me bonkers. Anyone else hearing it?!?!,1415111869593964546,🛫Steve Luzzo🛬,0,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",['AllStarGame'],171,950,0
138597,2021-07-15T10:39:55+00:00,@THEGRADIO Good Morning @THEGRADIO,1415622148807397378,Kevin L Winfield,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,2148,2471,0
238748,2021-07-25T02:57:15+00:00,Jackie Mason inspired a whole generation of stand up comics. RIP,1419129593395621888,#Vaccinated in Chicago,0,0,8,0,"[-87.940033, 41.644102]","Chicago, IL",0,14884,13309,0
83064,2021-07-09T02:58:26+00:00,"@acony_belle @Eve6 I’m sorry, and I know what that’s like (the trauma, not the alcoholic part) but purely looking at the numbers smoking kills a lot more people than alcohol.",1413331683768741893,wolverine//mo 🏳️‍🌈,2,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,4108,773,0
211683,2021-07-23T22:53:42+00:00,Project pat 🔥 fuck all this new rap cap,1418705914450923526,SG 🦇,0,1,18,0,"[-87.940033, 41.644102]","Chicago, IL",0,40100,19612,0
133968,2021-07-15T21:37:11+00:00,"Volunteers needed in Chicago. 

#chicago #chicagoresearch #chicagovolunteers #chitown https://t.co/NgL2D8QzsA",1415787555107266566,Research And Me,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['chicago', 'chicagoresearch', 'chicagovolunteers', 'chitown']",128,440,0
146988,2021-07-16T14:40:08+00:00,Every little bit counts 💪 https://t.co/w9f6D3OF0n,1416044985716297728,Yinzdaily,1,1,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,965,798,0
184191,2021-07-20T14:50:11+00:00,"@PratscherBrian @photoandvideoCD @Palermos95th @VitoNicksPizza @LouMalnatis @GiordanosPizza Facts. We definitely hit up Little Ceasars for those $6 Hot &amp; Readys. My kids love them. Feeding 2 boys for $6 and in-and-out the store in less than 5 minutes, hard to beat.",1417497067711307778,C.W. Harris,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,6498,6050,0
86720,2021-07-10T20:49:53+00:00,Tell me about it 🤙🏽 https://t.co/Lgn9T2bvZx,1413963708917850116,#RipRemDog .,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,868,1212,0
40383,2021-07-05T16:53:09+00:00,@ecto_fun 👍🏿👍🏿👍🏿👍🏿 https://t.co/jU3xCZwKhA,1412092194001928200,Jerel 🏳️‍🌈 •💋×o,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,596,4975,0
14918,2021-07-02T16:25:18+00:00,@kathbarbadoro I want to see somebody do a judo throw and the person goes through the ground like DragonBall Z,1410998025019854850,Paranoid Negroid,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",0,941,1260,0
68867,2021-07-08T16:33:14+00:00,"“La mayoría de las veces, no es la modestia lo que nos hace sentir incómodos cuando alguien dice algo bueno, sino nuestra falta de seguridad y autoestima. Si tienes dificultades para aceptar cumplidos, podría ser que en el fondo no sientas que te lo mereces.”",1413174347540443137,🇦 🇳 🇬 🇮 🇪 🍁,1,1,8,0,"[-87.940033, 41.644102]","Chicago, IL",0,14368,12571,0
155621,2021-07-17T15:54:56+00:00,@Spilling_The_T @GiaGunn are people not allowed to learn and grow?,1416426199027527687,spooky ryan ⚰️,3,0,7,0,"[-87.940033, 41.644102]","Chicago, IL",0,1713,767,0
226906,2021-07-24T14:10:49+00:00,@tbridge777 @stras37 Jesus Christ.  That’s just SO bad.,1418936711942389766,Joseph FrankenFinn,0,0,0,0,"[-87.805698, 41.8650062]","Oak Park, IL",0,1029,1675,0
190257,2021-07-21T22:12:07+00:00,@xSinkk https://t.co/wS4KIcB0Oz,1417970671523663882,"Frank ""Bulls 6-1"" 🐢",0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,3626,299,0
264655,2021-07-28T15:53:12+00:00,🙌🙏 https://t.co/FXcTWExulF,1420412028481646598,Sarah S,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,241,330,0
96314,2021-07-11T21:13:27+00:00,@QuadCityPat I go back and forth with these two .. Rogue is my present favorite..,1414332030146514952,Dave Miska,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,3672,924,0
54599,2021-07-07T23:44:07+00:00,@TheNewsan @cabronadiaries first day at JA when I showed you the basement 💀,1412920393032142848,views 🥀,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,384,288,0
103561,2021-07-11T02:18:15+00:00,@Pickswise why did we pick Nolan for today? Seems everyone else is hitting home runs and he’s 0-4 🤦🏻‍♂️,1414046346403885062,MARKY JAY (24KT.),0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,226,329,0
231071,2021-07-24T00:30:27+00:00,20th double on the year. Tied for the team lead. ANDREW VAUGHN FUCKING RAKES CLUB WHERE WE AT????,1418730261530005504,Brian Knights,2,3,99,1,"[-87.940033, 41.644102]","Chicago, IL",0,3971,1351,0
39749,2021-07-05T18:14:35+00:00,"New Heat 🔥🔥🔥
Now or Never The Mixtape #ComingSoon 

#MarquiseBeatz #TrapMusic #LexLuger #dt #like #Instrumental #MusicProducer #imakebeats #808mafia #Trap #Music #WhoNeedBeats #iammusic # @ Chicago, Illinois https://t.co/5KhqBz373q",1412112690064072709,MarquiseBeatz🇵🇷🇲🇽,0,2,0,0,"[-87.632496, 41.883222]","Chicago, IL","['ComingSoon', 'MarquiseBeatz', 'TrapMusic', 'LexLuger', 'dt', 'like', 'Instrumental', 'MusicProducer', 'imakebeats', '808mafia', 'Trap', 'Music', 'WhoNeedBeats', 'iammusic']",811,1728,0
59065,2021-07-07T16:01:15+00:00,Maybe he should Uber or something to make some extra cash… the struggle makes people tougher! https://t.co/YyzRgILit9,1412803911874924548,The Soxside Boys,0,0,2,0,"[-87.896102, 41.973825]","Rosemont, IL",0,2747,1967,0
80653,2021-07-09T13:38:08+00:00,cuz mfs be lying https://t.co/L5YQwXNd6r,1413492671230791685,T-Boogie🥵,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1446,1639,0
35461,2021-07-04T03:15:47+00:00,"Bout to see what this summertime chi thing all about #chicago #chitown @ Chicago, Illinois https://t.co/DUoszM3LJ0",1411524111755579405,Raydell Levelston,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL","['chicago', 'chitown']",65,479,0
7040,2021-07-01T05:58:19+00:00,I command opportunity,1410477850042327044,夜神 月,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,768,246,0
86158,2021-07-10T21:55:33+00:00,Just posted a photo @ Windy City Smokeout - Country Music &amp; BBQ Festival https://t.co/VSkLbbiBbq,1413980235566039042,Amanda Topper,0,0,0,0,"[-87.67385064, 41.88158151]","Chicago, IL",0,2144,544,0
203856,2021-07-22T18:43:42+00:00,@tapatiainefable Gracias 😁,1418280609043173380,🇦 🇳 🇬 🇮 🇪 🍁,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,14370,12571,0
