Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
52000,2020-09-04T03:52:41+00:00,Mood. https://t.co/oIYeT1RjV4,1301729875242475520,Catori🌺,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,2487,1560,0,mood,mood,[]
384102,2020-09-30T17:28:51+00:00,what we about to do when all these mfers running the country die,1311357354835836928,dai🖤,0,0,0,0,"[-87.721809, 41.706027]","Evergreen Park, IL",0,517,301,0,mfers running country die,what we about to do when all thes mfer runn the country die,[]
152890,2020-09-12T01:25:46+00:00,hell yeah brother https://t.co/xC2q1AEg4a,1304592003020316673,🇬🇹 Sean Xannity,0,0,1,0,"[-87.733451, 42.0191507]","Evanston, IL",0,581,488,0,hell yeah brother,hell yeah brother,[]
241831,2020-09-19T15:57:50+00:00,"@holmescnn They all need to remember that the ""majority"" in the senate represents  a minority of the voters. Of the people.",1307348181873758208,Tshies Von Due,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,348,373,0,holmescnn need remember majority senate represents minority voters people,holmescnn they all need to remember that the majority in the senat represent a minority of the voter of the peopl,[]
367639,2020-09-29T21:01:35+00:00,@prince0fpetty omg i want a Tarot reading!,1311048500701003777,phillip,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,839,358,0,prince0fpetty omg want tarot reading,prince0fpetty omg i want a tarot read,[]
349884,2020-09-27T04:02:42+00:00,Michelle!!!! https://t.co/mvl66KsI6h,1310067313358647298,Travis Austin Wright (Travie Austin),0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,810,1059,0,michelle,michell,[]
98026,2020-09-08T04:08:02+00:00,"@CBBonFOX @UVAMensHoops @NovaMBB @DukeMBB @UConnMBB @LouisvilleMBB @KentuckyMBB @KUHoops @GatorsMBK @Cuse_MBB @MSU_Basketball 2007. Disappointed that my Buckeyes couldnt pull it off, but it’s the night I asked this cute girl I had met out on a date, and we’ve been married almost 7 years now.",1303183288916467713,Matt Spencer,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,326,5000,0,cbbonfox uvamenshoops novambb dukembb uconnmbb louisvillembb kentuckymbb kuhoops gatorsmbk cusembb msubasketball 2007 disappointed buckeyes couldnt pull ’ night asked cute girl met date ’ married almost 7 years,cbbonfox uvamenshoop novambb dukembb uconnmbb louisvillembb kentuckymbb kuhoop gatorsmbk cusembb msubasketball 2007 disappointed that my buckeye couldnt pull it off but it ’ s the night i asked thi cut girl i had met out on a dat and we ’ ve been married almost 7 year now,[]
152678,2020-09-12T01:43:42+00:00,"My my my....
Very excited to share ✨🙏🏿😌 https://t.co/2OiBehjhO9",1304596516791750656,ᒪ ᗩ S S ᗩ ᓰ,3,3,24,0,"[-87.940033, 41.644102]","Chicago, IL",0,593,200,0,myvery excited share ✨🙏🏿😌,my my myvery excited to shar ✨🙏🏿😌,"['sparkles', 'folded_hands_dark_skin_tone', 'relieved_face']"
378165,2020-09-29T00:57:05+00:00,"@julioastillero Jajajaja otro video pio pio , otro video pio pio , otro video pio pio pio",1310745377184854018,Lamancha,0,0,0,0,"[-87.863231, 41.86419]","Maywood, IL",0,2268,2798,0,julioastillero jajajaja otro video pio pio otro video pio pio otro video pio pio pio,julioastillero jajajaja otro video pio pio otro video pio pio otro video pio pio pio,[]
105412,2020-09-09T17:31:18+00:00,https://t.co/TySKZI0yd4,1303747824711094272,Janie Garb,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,336,706,0,,,[]
26791,2020-09-02T01:49:43+00:00,"#toneyrturner #toneyrt #toneyt #toneturner #eltone #toney 

In the mist of personal session 

https://t.co/UL8Vq4y7eW @ Broadview, Illinois https://t.co/1Mvc3MmjZ3",1300974153789562880,TONEY Turner,0,0,0,0,"[-87.8542, 41.8594]","Broadview, IL","['toneyrturner', 'toneyrt', 'toneyt', 'toneturner', 'eltone', 'toney']",110,165,0,toneyrturner toneyrt toneyt toneturner eltone toney mist personal session broadview illinois,toneyrturner toneyrt toneyt toneturner elton toney in the mist of personal session broadview illinoi,[]
43026,2020-09-04T22:41:19+00:00,@Bellissiamo @AMAZINSheenaB Thanks! I just stayed in town for the most part. https://t.co/tBONg3OdHa,1302013904931958787,Jordan,1,1,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,694,2144,0,bellissiamo amazinsheenab thanks stayed town part,bellissiamo amazinsheenab thank i just stayed in town for the most part,[]
311796,2020-09-24T01:19:30+00:00,"Wisconsin, no doubt https://t.co/8xoitcpdSg",1308939082316361728,Charlie Gers,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,1170,345,0,wisconsin doubt,wisconsin no doubt,[]
391127,2020-09-30T03:00:01+00:00,@CNNPolitics @cnnbrk Trump is and has removed tweets. Haha crazy!,1311138702995976198,Mike Hayes,0,0,0,0,"[-87.890882, 41.790186]","La Grange Park, IL",0,14,133,0,cnnpolitics cnnbrk trump removed tweets haha crazy,cnnpolitic cnnbrk trump is and has removed tweet haha crazy,[]
213152,2020-09-17T18:45:26+00:00,Announcing daddy’s at bat. I surprised him with this video on the Jumbotron when he went up to bat! @NBCSWhiteSox @loswhitesox @mlbcuba @ymoncada19 @whitesox @jasonbenetti @Cut4 #WhiteSox #moncada #sox #MLB #baseball https://t.co/bnGP1b60DI,1306665584440926208,Robinson Moncada,2,3,25,1,"[-87.940033, 41.644102]","Chicago, IL","['WhiteSox', 'moncada', 'sox', 'MLB', 'baseball']",799,320,0,announcing daddy ’ bat surprised video jumbotron went bat nbcswhitesox loswhitesox mlbcuba ymoncada19 whitesox jasonbenetti cut4 whitesox moncada sox mlb baseball,announc daddy ’ s at bat i surprised him with thi video on the jumbotron when he went up to bat nbcswhitesox loswhitesox mlbcuba ymoncada19 whitesox jasonbenetti cut4 whitesox moncada sox mlb baseball,[]
149278,2020-09-12T10:52:42+00:00,I Don’t Know How Tf Get Glass In My Foot.,1304734677186605056,💕,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,3404,985,0,’ know tf get glass foot,i don ’ t know how tf get glas in my foot,[]
92024,2020-09-08T19:42:14+00:00,"The real ones they know, and the ones that do not, I don’t need.",1303418385720659971,Asia Assley,0,2,4,0,"[-87.940033, 41.644102]","Chicago, IL",0,1339,724,0,real ones know ones ’ need,the real one they know and the one that do not i don ’ t need,[]
199494,2020-09-16T16:47:30+00:00,@MDSoul Awwwwwww,1306273515793002498,Kizzy Aqueelah :-),0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,1219,1127,0,mdsoul awwwwwww,mdsoul awwwwwww,[]
65231,2020-09-05T02:10:50+00:00,@SakiSakuraTV @raidhyn I always wonder how is that work and his you block with it,1302066628365094912,teddy anderson,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,272,1760,0,sakisakuratv raidhyn always wonder work block,sakisakuratv raidhyn i alway wonder how is that work and his you block with it,[]
326735,2020-09-26T23:23:41+00:00,Pretty sure this is a full chapter in the Kama Sutra https://t.co/Ib3A5bgyc7,1309997097987584006,Ross Patton,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,272,1083,0,pretty sure full chapter kama sutra,pretty sur thi is a full chapter in the kama sutra,[]
99188,2020-09-08T02:13:50+00:00,Man when is the last time Belichick ever talked this much,1303154549927153672,FloridaBuckeye21,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,104,1130,0,man last time belichick ever talked much,man when is the last tim belichick ever talked thi much,[]
